country,pop2000,pop2010,pop2023,pop2024,pop2030,pop2050,landAreaKm,worldPercentage
India,1057920000,1243480000,1438070000,1450940000,1525140000,1679590000,2973190,0.1813
China,1269580000,1351560000,1422580000,1419320000,1398150000,1260290000,9424702.9,0.1773
United States,281484000,311063000,343477000,345427000,355650000,380847000,9147420,0.0432
Indonesia,216078000,246305000,281190000,283488000,295877000,320713000,1877519,0.0354
Pakistan,154879000,199239000,247504000,251269000,276883000,371864000,770880,0.0314
Nigeria,126382000,166643000,227883000,232679000,262381000,359186000,910770,0.0291
Brazil,174018000,193702000,211141000,211999000,216074000,217489000,8358140,0.0265
Bangladesh,134544000,152202000,171467000,173562000,186072000,214709000,130170,0.0217
Russia,146718000,143934000,145440000,144820000,141889000,136133000,16376870,0.0181
Ethiopia,67411500,90538500,128692000,132060000,152855000,225022000,1128571.3,0.0165
Mexico,98625600,113624000,129740000,130861000,136905000,148946000,1943950,0.0163
Japan,127028000,128185000,124371000,123753000,119584000,105123000,364500,0.0155
Egypt,73083300,89196100,114536000,116538000,127139000,161630000,995450,0.0146
Philippines,79625400,96337100,114891000,115844000,121409000,134373000,298170,0.0145
DR Congo,50507400,68563000,105790000,109276000,131532000,218246000,2267050,0.0137
Vietnam,77154000,87455200,100352000,100988000,104255000,110009000,313429,0.0126
Iran,66418700,77420800,90608700,91567700,95486700,101862000,1622500,0.0114
Turkey,65426000,73346800,87270500,87473800,89027500,91258100,783562,0.0109
Germany,81797300,80830900,84548200,84552200,82781000,78294600,349390,0.0106
Thailand,63007800,68579400,71702400,71668000,71215000,66382700,510890,0.009
United Kingdom,59057300,63006500,68683000,69138200,71287000,75504700,241930,0.0086
Tanzania,34260100,44758500,66617600,68560200,80913100,129621000,885800,0.0086
France,59483700,63417400,66438800,66548500,67107700,68219700,547557,0.0083
South Africa,47159700,52344100,63212400,64007200,68161400,79177300,1213090,0.008
Italy,57272200,60164200,59499500,59342900,57946100,51891100,295717,0.0074
Kenya,30642900,41598600,55339000,56432900,63102200,83593200,569140,0.007
Myanmar,45290800,49024400,54133800,54500100,56351000,58623200,652670,0.0068
Colombia,39089900,44777300,52321200,52886400,55736500,59385400,1109500,0.0066
South Korea,46766700,48769300,51748700,51717600,51188600,45143100,97600,0.0065
Sudan,27816700,35414400,50042800,50449000,58571600,85206400,1868000,0.0063
Uganda,24000200,32390800,48656600,50015100,58312900,85431200,200520,0.0062
Spain,41019800,46840500,47911600,47910500,47610500,44928600,499556.6,0.006
Algeria,30903900,36188200,46164200,46814300,50154200,59565600,2381741,0.0058
Iraq,24424100,31045400,45074000,46042000,51937200,71928800,434128,0.0058
Argentina,37214000,41288700,45538400,45696200,46585000,48308900,2736690,0.0057
Afghanistan,20130300,28284100,41454800,42647500,50039400,76885100,652230,0.0053
Yemen,19624100,26754400,39390800,40583200,47667700,70976400,527970,0.0051
Canada,30891800,34196900,39299100,39742400,41655600,45621900,8965590,0.005
Poland,38258100,38095400,38762800,38539200,37198500,32814100,306130,0.0048
Morocco,28423400,32467000,37712500,38081200,39953500,43440400,446300,0.0048
Angola,16194900,23294800,36749900,37885800,45160500,74295400,1246700,0.0047
Ukraine,49556700,46456000,37732800,37860200,38353900,31990100,579400,0.0047
Uzbekistan,24787100,28385500,35652300,36361900,40248200,52210800,440650,0.0045
Malaysia,22967800,28655800,35126300,35557700,37961700,44289800,328550,0.0044
Mozambique,18129700,22999200,33635200,34631800,40846800,63531000,786380,0.0043
Ghana,19637100,25475000,33787900,34427400,38222100,50553000,227533,0.0043
Peru,26598300,29086000,33845600,34217800,36193900,40583900,1280000,0.0043
Saudi Arabia,16177700,25157100,33264300,33962800,37443800,47693900,2149690,0.0042
Madagascar,16516300,22183300,31195900,31965000,36693200,53185500,581800,0.004
Ivory Coast,17699000,22488100,31165700,31934200,36699000,55747000,318000,0.004
Nepal,24546500,27342000,29694600,29651100,30510000,34642000,143350,0.0037
Cameroon,14912600,19668100,28372700,29123700,33777200,51096300,472710,0.0036
Venezuela,24526700,28813100,28300900,28405500,29151800,31094900,882050,0.0035
Niger,11509600,16548800,26159900,27032400,32518100,52513900,1266700,0.0034
Australia,19132500,22141600,26451100,26713200,28188500,32507000,7692020,0.0033
North Korea,23665900,24987300,26418200,26498800,26784900,25787100,120410,0.0033
Syria,16637900,22482400,23594600,24672800,29395500,37793400,183630,0.0031
Mali,11559300,15945200,23769100,24478600,29002900,46154100,1220190,0.0031
Burkina Faso,11925500,16176500,23025800,23548800,26730300,37304400,273600,0.0029
Taiwan,22332900,23224000,23317100,23214000,22590000,19434600,36197,0.0029
Sri Lanka,19293100,20879100,22971600,23103600,23768000,24813700,61860,0.0029
Malawi,11315900,14826500,21104500,21655300,25160300,37361700,94280,0.0027
Zambia,10017600,13965600,20724000,21315000,25024900,38083400,743390,0.0027
Kazakhstan,15501100,16836800,20330100,20592600,22003200,26544300,2699700,0.0026
Chad,8512090,12312600,19319100,20299100,24207500,38857700,1259200,0.0025
Chile,15503600,17181500,19658800,19764800,20233200,20320300,743532,0.0025
Romania,22046300,20432600,19118500,19015100,18359500,16027300,230080,0.0024
Somalia,8838710,12261800,18358600,19009200,22915000,37206500,627340,0.0024
Senegal,9968260,12635400,18077600,18502000,21163200,30365000,192530,0.0023
Guatemala,11697600,14500100,18124800,18406400,20067300,24670900,107160,0.0023
Netherlands,16058800,16771200,18092500,18228700,18757200,18958500,33670,0.0023
Ecuador,12689200,15076700,17980100,18135500,19069700,21337200,248360,0.0023
Cambodia,12462300,14500700,17423900,17638800,18827400,21931500,176520,0.0022
Zimbabwe,11892100,13356500,16340800,16634400,18610300,25866400,386850,0.0021
Guinea,8428830,10396100,14405500,14754800,16807100,23404600,245720,0.0018
Benin,7221620,9797480,14111000,14462700,16618800,24433800,112760,0.0018
Rwanda,8213930,10317600,13954500,14256600,16154700,22707900,24670,0.0018
Burundi,6470190,9376440,13689400,14047800,16182000,24131700,25680,0.0018
Bolivia,8606330,10182300,12244200,12413300,13405600,16110200,1083300,0.0016
Tunisia,9764940,10766000,12200400,12277100,12628100,13145100,155360,0.0015
South Sudan,6032270,9745950,11483400,11943400,13457500,18342000,631930,0.0015
Haiti,8303150,9803290,11637400,11772600,12552400,14710900,27560,0.0015
Belgium,10251700,10936600,11712900,11738800,11824100,11870900,30280,0.0015
Jordan,5386940,7297040,11439200,11552900,12448800,16367400,88794,0.0014
Dominican Republic,8584190,9820180,11331300,11427600,11938900,12996300,48310,0.0014
United Arab Emirates,3493580,6938360,10642100,11027100,12190600,15367400,71020,0.0014
Cuba,11109100,11297400,11019900,10979800,10700800,9382000,103800,0.0014
Honduras,6577770,8365880,10644900,10825700,11885300,14846800,111890,0.0014
Czech Republic,10236800,10464000,10809700,10735900,10425100,9825540,77198.5,0.0013
